Subject,Procedure,Version,Contrast,Item,Condition,WordL,WordR,Words.ACC,Words.RT
1,TrialProc,B2,PB,1,Unrelated,HIT,BUNCH,correct,1979
1,TrialProc,A2,LR,1,Unrelated,FALSE,COLLECT,wrong,1978
1,TrialProc,B1,PB,4,Unrelated,BILL,TABLET,correct,4036
1,TrialProc,A2,PB,15,Unrelated,COW,PULL,correct,2193
1,TrialProc,A1,PB,7,Unrelated,PEACH,SAND,correct,2406
1,TrialProc,B1,PB,12,Unrelated,BOUND,COIN,correct,2451
1,TrialProc,B2,LR,10,Unrelated,APPLAUD,CRAP,correct,2500
1,TrialProc,B2,PB,10,Unrelated,FRYING,BAN,correct,2511
1,TrialProc,B1,PB,3,Unrelated,BIN,NEEDLE,correct,1362
1,TrialProc,B2,PB,18,Unrelated,BACK,BAT,correct,2174
1,TrialProc,A1,PB,11,Unrelated,POND,JAMES,correct,3668
1,TrialProc,A1,LR,17,Unrelated,LANE,WATER,correct,1972
1,TrialProc,A2,PB,13,Unrelated,PART,PIT,correct,1761
1,TrialProc,A2,LR,4,Unrelated,LEFT,LIGHT,wrong,1448
1,TrialProc,B2,PB,14,Unrelated,TOP,BEAK,correct,3553
1,TrialProc,B1,LR,15,Unrelated,WRONG,SHORT,correct,3334
2,TrialProc,A2,PB,17,Unrelated,SHOWER,PATH,correct,1721
2,TrialProc,A2,PB,7,Unrelated,SAND,PEACH,correct,3542
2,TrialProc,A2,LR,3,Unrelated,COOKED,LAW,correct,3927
2,TrialProc,B1,LR,11,Unrelated,RACK,MISSING,correct,3009
2,TrialProc,B2,PB,20,Unrelated,EQUAL,BEER,correct,1485
2,TrialProc,A2,PB,9,Unrelated,GROWL,PARK,correct,2945
2,TrialProc,B2,LR,1,Unrelated,STAMPS,CORRECT,correct,2216
2,TrialProc,A1,PB,15,Unrelated,PULL,COW,correct,1176
2,TrialProc,A2,PB,6,Unrelated,PAW,PEAR,correct,915
2,TrialProc,B1,LR,18,Unrelated,CROWD,SKY,wrong,1271
2,TrialProc,A1,LR,20,Unrelated,LOAD,STREET,wrong,1151
2,TrialProc,A1,LR,5,Unrelated,LOCK,HARD,wrong,3003
2,TrialProc,B1,PB,18,Unrelated,BAT,BACK,correct,1329
2,TrialProc,A2,LR,8,Unrelated,BANK,LIVER,correct,1618
2,TrialProc,A1,LR,15,Unrelated,LONG,MISTAKE,correct,1860
2,TrialProc,B2,LR,9,Unrelated,MANY,ROT,correct,992
2,TrialProc,B2,PB,2,Unrelated,PETROL,BUMP,correct,2795
2,TrialProc,A1,PB,12,Unrelated,POUND,TIED,correct,1316
2,TrialProc,B1,PB,1,Unrelated,BUNCH,HIT,correct,1423
2,TrialProc,A1,LR,2,Unrelated,LATE,HEART,correct,1282
2,TrialProc,A2,PB,14,Unrelated,BIRD,PEAK,correct,1306
2,TrialProc,A2,LR,17,Unrelated,WATER,LANE,correct,2261
2,TrialProc,B2,PB,8,Unrelated,MONEY,BAY,correct,1624
4,TrialProc,B1,PB,13,Unrelated,BIT,HOLE,wrong,7393
4,TrialProc,B2,PB,15,Unrelated,MOVE,BULL,correct,3521
4,TrialProc,B2,LR,11,Unrelated,MISSING,RACK,correct,2051
4,TrialProc,A1,PB,19,Unrelated,PAD,GOOD,correct,2223
4,TrialProc,A2,PB,18,Unrelated,BALL,PAT,wrong,3370
4,TrialProc,A2,PB,5,Unrelated,SMALL,PIG,correct,2405
4,TrialProc,A2,LR,14,Unrelated,UPRIGHT,ELECT,wrong,2870
4,TrialProc,A1,PB,1,Unrelated,PUNCH,ROSES,correct,4070
4,TrialProc,A1,LR,4,Unrelated,LIGHT,LEFT,correct,4410
4,TrialProc,A1,LR,8,Unrelated,LIVER,BANK,correct,3779
4,TrialProc,B1,PB,8,Unrelated,BAY,MONEY,correct,4151
4,TrialProc,A2,LR,2,Unrelated,HEART,LATE,correct,7559
4,TrialProc,B2,PB,11,Unrelated,DUCK,BOND,correct,3144
4,TrialProc,A1,LR,10,Unrelated,CLAP,GARBAGE,correct,5156
4,TrialProc,A2,LR,18,Unrelated,PEOPLE,CLOUD,correct,7296
4,TrialProc,A2,PB,3,Unrelated,LITTER,PIN,correct,2644
4,TrialProc,B1,PB,14,Unrelated,BEAK,TOP,correct,3427
4,TrialProc,B1,LR,16,Unrelated,RAP,KNEE,correct,6510
4,TrialProc,A1,PB,10,Unrelated,PAN,FORBID,correct,4843
4,TrialProc,B1,LR,19,Unrelated,RUST,PASSION,wrong,7064
4,TrialProc,B2,LR,5,Unrelated,KEY,ROCK,wrong,3712
4,TrialProc,B1,LR,3,Unrelated,RAW,ORDER,correct,4408
4,TrialProc,A2,LR,9,Unrelated,SPOIL,LOT,correct,6985
4,TrialProc,A2,PB,12,Unrelated,TIED,POUND,correct,3976
5,TrialProc,B2,PB,1,Unrelated,HIT,BUNCH,correct,1240
5,TrialProc,A2,LR,1,Unrelated,FALSE,COLLECT,wrong,1995
5,TrialProc,A1,LR,7,Unrelated,LED,YELLOW,correct,1485
5,TrialProc,B1,LR,20,Unrelated,ROAD,HEAVY,correct,2935
5,TrialProc,B1,PB,17,Unrelated,BATH,ROUTE,correct,1190
5,TrialProc,A2,LR,5,Unrelated,HARD,LOCK,correct,3596
5,TrialProc,A1,LR,19,Unrelated,LUST,IRON,wrong,3910
5,TrialProc,A1,PB,8,Unrelated,PAY,COAST,correct,1415
5,TrialProc,B2,LR,18,Unrelated,SKY,CROWD,wrong,1964
5,TrialProc,B1,LR,8,Unrelated,RIVER,KIDNEY,correct,1457
5,TrialProc,A1,PB,6,Unrelated,PEAR,PAW,correct,1707
5,TrialProc,B1,PB,12,Unrelated,BOUND,COIN,correct,1810
5,TrialProc,B2,LR,10,Unrelated,APPLAUD,CRAP,correct,2708
5,TrialProc,B2,PB,10,Unrelated,FRYING,BAN,correct,2845
5,TrialProc,B1,PB,3,Unrelated,BIN,NEEDLE,correct,966
5,TrialProc,B2,PB,18,Unrelated,BACK,BAT,correct,1042
5,TrialProc,A1,PB,11,Unrelated,POND,JAMES,correct,1466
5,TrialProc,A1,LR,17,Unrelated,LANE,WATER,correct,1415
5,TrialProc,A2,PB,13,Unrelated,PART,PIT,correct,1579
5,TrialProc,A2,LR,4,Unrelated,LEFT,LIGHT,correct,2368
5,TrialProc,B1,LR,15,Unrelated,WRONG,SHORT,correct,1773
6,TrialProc,A2,PB,17,Unrelated,SHOWER,PATH,correct,1275
6,TrialProc,A2,PB,7,Unrelated,SAND,PEACH,correct,1488
6,TrialProc,A2,LR,6,Unrelated,TORN,LIP,correct,1569
6,TrialProc,B2,LR,13,Unrelated,EGG,RAY,correct,1243
6,TrialProc,B1,LR,4,Unrelated,RIGHT,DARK,correct,2208
6,TrialProc,A1,LR,14,Unrelated,ELECT,UPRIGHT,correct,1134
6,TrialProc,B2,PB,16,Unrelated,HAMSTER,BET,correct,1219
6,TrialProc,B1,PB,11,Unrelated,BOND,DUCK,correct,1110
6,TrialProc,B2,LR,16,Unrelated,KNEE,RAP,correct,1088
6,TrialProc,A1,LR,15,Unrelated,LONG,MISTAKE,correct,1210
6,TrialProc,B2,LR,9,Unrelated,MANY,ROT,correct,1739
6,TrialProc,B2,PB,2,Unrelated,PETROL,BUMP,correct,1145
6,TrialProc,A1,PB,12,Unrelated,POUND,TIED,correct,1218
6,TrialProc,B1,PB,1,Unrelated,BUNCH,HIT,correct,1207
6,TrialProc,A1,LR,2,Unrelated,LATE,HEART,correct,1031
6,TrialProc,A2,PB,14,Unrelated,BIRD,PEAK,correct,4227
6,TrialProc,A2,LR,17,Unrelated,WATER,LANE,correct,1903
6,TrialProc,B2,PB,8,Unrelated,MONEY,BAY,correct,1057
7,TrialProc,A2,LR,12,Unrelated,CLOTH,LAG,wrong,1923
7,TrialProc,A1,PB,18,Unrelated,PAT,BALL,correct,1865
7,TrialProc,A1,LR,16,Unrelated,LAP,MUSIC,correct,2998
7,TrialProc,B2,PB,5,Unrelated,PORK,BIG,correct,1293
7,TrialProc,A2,PB,1,Unrelated,ROSES,PUNCH,wrong,1243
7,TrialProc,B2,PB,12,Unrelated,COIN,BOUND,correct,1712
7,TrialProc,A2,LR,11,Unrelated,SHELF,LACK,wrong,4079
7,TrialProc,A2,PB,10,Unrelated,FORBID,PAN,correct,2332
7,TrialProc,B1,PB,7,Unrelated,BEACH,APRICOT,correct,2005
7,TrialProc,B1,LR,6,Unrelated,RIP,MOUTH,wrong,3058
7,TrialProc,B1,PB,15,Unrelated,BULL,MOVE,correct,1423
7,TrialProc,B2,LR,8,Unrelated,KIDNEY,RIVER,correct,1981
7,TrialProc,A2,PB,11,Unrelated,JAMES,POND,correct,1177
7,TrialProc,B2,LR,14,Unrelated,VOTE,ERECT,wrong,1310
7,TrialProc,A1,PB,16,Unrelated,PET,GAMBLE,correct,1110
7,TrialProc,A1,LR,3,Unrelated,LAW,COOKED,correct,1761
7,TrialProc,B1,PB,2,Unrelated,BUMP,PETROL,correct,1752
7,TrialProc,B2,LR,4,Unrelated,DARK,RIGHT,correct,1320
7,TrialProc,B2,PB,19,Unrelated,PAPER,BAD,correct,1029
8,TrialProc,B2,PB,7,Unrelated,APRICOT,BEACH,correct,3634
8,TrialProc,A2,PB,2,Unrelated,BANG,PUMP,wrong,2373
8,TrialProc,B1,LR,1,Unrelated,CORRECT,STAMPS,correct,1956
8,TrialProc,A1,LR,12,Unrelated,LAG,CLOTH,wrong,1935
8,TrialProc,B1,PB,16,Unrelated,BET,HAMSTER,correct,2185
8,TrialProc,A1,LR,8,Unrelated,LIVER,BANK,correct,2583
8,TrialProc,B2,LR,7,Unrelated,FOLLOWED,RED,correct,2700
8,TrialProc,B1,PB,8,Unrelated,BAY,MONEY,correct,1485
8,TrialProc,A2,LR,15,Unrelated,MISTAKE,LONG,correct,1948
8,TrialProc,A1,PB,17,Unrelated,PATH,SHOWER,wrong,2022
8,TrialProc,B2,LR,17,Unrelated,ALLEY,RAIN,correct,1265
8,TrialProc,A2,PB,3,Unrelated,LITTER,PIN,correct,1938
8,TrialProc,A1,PB,10,Unrelated,PAN,FORBID,correct,2464
8,TrialProc,B1,LR,3,Unrelated,RAW,ORDER,correct,1519
9,TrialProc,B2,LR,3,Unrelated,ORDER,RAW,correct,1122
9,TrialProc,A1,LR,7,Unrelated,LED,YELLOW,correct,1383
9,TrialProc,B1,LR,20,Unrelated,ROAD,HEAVY,correct,2631
9,TrialProc,B1,PB,17,Unrelated,BATH,ROUTE,correct,1437
9,TrialProc,A2,LR,5,Unrelated,HARD,LOCK,correct,1805
9,TrialProc,A1,LR,19,Unrelated,LUST,IRON,correct,3788
9,TrialProc,A1,PB,8,Unrelated,PAY,COAST,correct,1439
9,TrialProc,B2,LR,18,Unrelated,SKY,CROWD,wrong,2053
9,TrialProc,A1,PB,7,Unrelated,PEACH,SAND,correct,1492
9,TrialProc,A2,PB,20,Unrelated,DRINK,PEER,correct,1863
9,TrialProc,B2,LR,6,Unrelated,MOUTH,RIP,correct,1146
9,TrialProc,A1,PB,2,Unrelated,PUMP,BANG,correct,1576
9,TrialProc,A1,LR,9,Unrelated,LOT,SPOIL,correct,1557
9,TrialProc,A2,LR,13,Unrelated,BEAM,LAY,wrong,1077
9,TrialProc,A2,PB,19,Unrelated,GOOD,PAD,correct,826
9,TrialProc,A2,PB,16,Unrelated,GAMBLE,PET,correct,1226
9,TrialProc,B1,LR,14,Unrelated,ERECT,VOTE,correct,1852
9,TrialProc,A1,LR,11,Unrelated,LACK,SHELF,wrong,7641
9,TrialProc,B2,PB,9,Unrelated,CAR,BARK,correct,1078
9,TrialProc,A2,LR,16,Unrelated,MUSIC,LAP,wrong,1394
9,TrialProc,B2,LR,12,Unrelated,BEHIND,RAG,correct,1501
9,TrialProc,B1,PB,5,Unrelated,BIG,PORK,correct,977
9,TrialProc,B1,LR,2,Unrelated,RATE,EARLY,correct,2119
10,TrialProc,A1,PB,3,Unrelated,PIN,LITTER,correct,2232
10,TrialProc,A2,LR,7,Unrelated,YELLOW,LED,correct,1478
10,TrialProc,B1,PB,10,Unrelated,BAN,FRYING,correct,3399
10,TrialProc,B1,PB,19,Unrelated,BAD,PAPER,correct,3471
10,TrialProc,A2,LR,3,Unrelated,COOKED,LAW,correct,2701
10,TrialProc,B1,LR,11,Unrelated,RACK,MISSING,correct,2562
10,TrialProc,B2,PB,20,Unrelated,EQUAL,BEER,correct,1351
10,TrialProc,A2,PB,9,Unrelated,GROWL,PARK,correct,6699
10,TrialProc,B2,LR,1,Unrelated,STAMPS,CORRECT,correct,2960
10,TrialProc,A1,PB,15,Unrelated,PULL,COW,correct,1155
10,TrialProc,A2,PB,6,Unrelated,PAW,PEAR,correct,2035
10,TrialProc,B1,LR,18,Unrelated,CROWD,SKY,correct,3550
10,TrialProc,A1,LR,20,Unrelated,LOAD,STREET,correct,1561
10,TrialProc,A1,LR,5,Unrelated,LOCK,HARD,correct,1666
10,TrialProc,B1,PB,18,Unrelated,BAT,BACK,correct,2082
10,TrialProc,A2,LR,8,Unrelated,BANK,LIVER,correct,1838
10,TrialProc,A1,PB,4,Unrelated,PILL,WAITER,correct,1748
10,TrialProc,B1,LR,12,Unrelated,RAG,BEHIND,correct,2416
10,TrialProc,B1,LR,10,Unrelated,CRAP,APPLAUD,correct,6884
10,TrialProc,A1,PB,5,Unrelated,PIG,SMALL,correct,1559
10,TrialProc,B2,PB,13,Unrelated,HOLE,BIT,correct,2445
10,TrialProc,B2,LR,19,Unrelated,PASSION,RUST,correct,1494
11,TrialProc,A2,PB,4,Unrelated,WAITER,PILL,correct,2327
11,TrialProc,A1,LR,18,Unrelated,CLOUD,PEOPLE,wrong,1765
11,TrialProc,B1,LR,17,Unrelated,RAIN,ALLEY,correct,2731
11,TrialProc,B2,PB,5,Unrelated,PORK,BIG,correct,1713
11,TrialProc,A2,PB,1,Unrelated,ROSES,PUNCH,correct,1890
11,TrialProc,B2,PB,12,Unrelated,COIN,BOUND,correct,1836
11,TrialProc,A2,LR,11,Unrelated,SHELF,LACK,correct,4479
11,TrialProc,B1,LR,5,Unrelated,ROCK,KEY,correct,3789
11,TrialProc,B1,LR,6,Unrelated,RIP,MOUTH,wrong,1894
11,TrialProc,B2,PB,3,Unrelated,NEEDLE,BIN,correct,1422
11,TrialProc,B1,PB,9,Unrelated,BARK,CAR,correct,1333
11,TrialProc,A2,LR,10,Unrelated,GARBAGE,CLAP,wrong,2764
11,TrialProc,A1,PB,16,Unrelated,PET,GAMBLE,correct,1718
